     0.000   GOAL                   SET-BUFFER-CHUNK GOAL GOAL REQUESTED NIL 
     0.203   PROCEDURAL             CONFLICT-RESOLUTION 
     0.204   PROCEDURAL             CONFLICT-RESOLUTION 
     0.205   PROCEDURAL             CONFLICT-RESOLUTION 
     0.206   PROCEDURAL             CONFLICT-RESOLUTION 
     0.207   PROCEDURAL             CONFLICT-RESOLUTION 
     0.208   PROCEDURAL             CONFLICT-RESOLUTION 
     0.209   PROCEDURAL             CONFLICT-RESOLUTION 
     0.210   PROCEDURAL             CONFLICT-RESOLUTION 
     0.211   PROCEDURAL             CONFLICT-RESOLUTION 
     0.212   PROCEDURAL             CONFLICT-RESOLUTION 
     0.213   PROCEDURAL             CONFLICT-RESOLUTION 
     0.214   PROCEDURAL             CONFLICT-RESOLUTION 
     0.215   PROCEDURAL             CONFLICT-RESOLUTION 
     0.216   PROCEDURAL             CONFLICT-RESOLUTION 
     0.217   PROCEDURAL             CONFLICT-RESOLUTION 
     0.218   PROCEDURAL             CONFLICT-RESOLUTION 
     0.219   PROCEDURAL             CONFLICT-RESOLUTION 
     0.220   PROCEDURAL             CONFLICT-RESOLUTION 
     0.221   PROCEDURAL             CONFLICT-RESOLUTION 
     0.222   PROCEDURAL             CONFLICT-RESOLUTION 
     0.223   PROCEDURAL             CONFLICT-RESOLUTION 
     0.224   PROCEDURAL             CONFLICT-RESOLUTION 
     0.225   PROCEDURAL             CONFLICT-RESOLUTION 
     0.226   PROCEDURAL             CONFLICT-RESOLUTION 
     0.227   PROCEDURAL             CONFLICT-RESOLUTION 
     0.228   PROCEDURAL             CONFLICT-RESOLUTION 
     0.229   PROCEDURAL             CONFLICT-RESOLUTION 
     0.230   PROCEDURAL             CONFLICT-RESOLUTION 
     0.231   PROCEDURAL             CONFLICT-RESOLUTION 
     0.232   PROCEDURAL             CONFLICT-RESOLUTION 
     0.233   PROCEDURAL             CONFLICT-RESOLUTION 
     0.234   PROCEDURAL             CONFLICT-RESOLUTION 
     0.235   PROCEDURAL             CONFLICT-RESOLUTION 
     0.236   PROCEDURAL             CONFLICT-RESOLUTION 
     0.237   PROCEDURAL             CONFLICT-RESOLUTION 
     0.238   PROCEDURAL             CONFLICT-RESOLUTION 
     0.239   PROCEDURAL             CONFLICT-RESOLUTION 
     0.240   PROCEDURAL             CONFLICT-RESOLUTION 
     0.241   PROCEDURAL             CONFLICT-RESOLUTION 
     0.242   PROCEDURAL             CONFLICT-RESOLUTION 
     0.243   PROCEDURAL             CONFLICT-RESOLUTION 
     0.244   PROCEDURAL             CONFLICT-RESOLUTION 
     0.245   PROCEDURAL             CONFLICT-RESOLUTION 
     0.246   PROCEDURAL             CONFLICT-RESOLUTION 
     0.247   PROCEDURAL             CONFLICT-RESOLUTION 
     0.248   PROCEDURAL             CONFLICT-RESOLUTION 
     0.249   PROCEDURAL             CONFLICT-RESOLUTION 
     0.250   PROCEDURAL             CONFLICT-RESOLUTION 
     0.251   PROCEDURAL             CONFLICT-RESOLUTION 
     0.252   PROCEDURAL             CONFLICT-RESOLUTION 
     0.253   PROCEDURAL             CONFLICT-RESOLUTION 
     0.254   PROCEDURAL             CONFLICT-RESOLUTION 
     0.255   PROCEDURAL             CONFLICT-RESOLUTION 
     0.256   PROCEDURAL             CONFLICT-RESOLUTION 
     0.257   PROCEDURAL             CONFLICT-RESOLUTION 
     0.258   PROCEDURAL             CONFLICT-RESOLUTION 
     0.259   PROCEDURAL             CONFLICT-RESOLUTION 
     0.260   PROCEDURAL             CONFLICT-RESOLUTION 
     0.261   PROCEDURAL             CONFLICT-RESOLUTION 
     0.262   PROCEDURAL             CONFLICT-RESOLUTION 
     0.263   PROCEDURAL             CONFLICT-RESOLUTION 
     0.264   PROCEDURAL             CONFLICT-RESOLUTION 
     0.265   PROCEDURAL             CONFLICT-RESOLUTION 
     0.266   PROCEDURAL             CONFLICT-RESOLUTION 
     0.267   PROCEDURAL             CONFLICT-RESOLUTION 
     0.268   PROCEDURAL             CONFLICT-RESOLUTION 
     0.269   PROCEDURAL             CONFLICT-RESOLUTION 
     0.270   PROCEDURAL             CONFLICT-RESOLUTION 
     0.271   PROCEDURAL             CONFLICT-RESOLUTION 
     0.272   PROCEDURAL             CONFLICT-RESOLUTION 
     0.273   PROCEDURAL             CONFLICT-RESOLUTION 
     0.274   PROCEDURAL             CONFLICT-RESOLUTION 
     0.275   PROCEDURAL             CONFLICT-RESOLUTION 
     0.276   PROCEDURAL             CONFLICT-RESOLUTION 
     0.277   PROCEDURAL             CONFLICT-RESOLUTION 
     0.278   PROCEDURAL             CONFLICT-RESOLUTION 
     0.279   PROCEDURAL             CONFLICT-RESOLUTION 
     0.280   PROCEDURAL             CONFLICT-RESOLUTION 
     0.281   PROCEDURAL             CONFLICT-RESOLUTION 
     0.282   PROCEDURAL             CONFLICT-RESOLUTION 
     0.283   PROCEDURAL             CONFLICT-RESOLUTION 
     0.284   PROCEDURAL             CONFLICT-RESOLUTION 
     0.285   PROCEDURAL             CONFLICT-RESOLUTION 
     0.286   PROCEDURAL             CONFLICT-RESOLUTION 
     0.287   PROCEDURAL             CONFLICT-RESOLUTION 
     0.288   PROCEDURAL             CONFLICT-RESOLUTION 
     0.289   PROCEDURAL             CONFLICT-RESOLUTION 
     0.290   PROCEDURAL             CONFLICT-RESOLUTION 
     0.291   PROCEDURAL             CONFLICT-RESOLUTION 
     0.292   PROCEDURAL             CONFLICT-RESOLUTION 
     0.293   PROCEDURAL             CONFLICT-RESOLUTION 
     0.294   PROCEDURAL             CONFLICT-RESOLUTION 
     0.295   PROCEDURAL             CONFLICT-RESOLUTION 
     0.296   PROCEDURAL             CONFLICT-RESOLUTION 
     0.297   PROCEDURAL             CONFLICT-RESOLUTION 
     0.298   PROCEDURAL             CONFLICT-RESOLUTION 
     0.299   PROCEDURAL             CONFLICT-RESOLUTION 
     0.300   PROCEDURAL             CONFLICT-RESOLUTION 
     0.301   PROCEDURAL             CONFLICT-RESOLUTION 
     0.302   PROCEDURAL             CONFLICT-RESOLUTION 
     0.303   PROCEDURAL             CONFLICT-RESOLUTION 
     0.304   PROCEDURAL             CONFLICT-RESOLUTION 
     0.305   PROCEDURAL             CONFLICT-RESOLUTION 
     0.306   PROCEDURAL             CONFLICT-RESOLUTION 
     0.307   PROCEDURAL             CONFLICT-RESOLUTION 
     0.308   PROCEDURAL             CONFLICT-RESOLUTION 
     0.309   PROCEDURAL             CONFLICT-RESOLUTION 
     0.310   PROCEDURAL             CONFLICT-RESOLUTION 
     0.311   PROCEDURAL             CONFLICT-RESOLUTION 
     0.312   PROCEDURAL             CONFLICT-RESOLUTION 
     0.313   PROCEDURAL             CONFLICT-RESOLUTION 
     0.314   PROCEDURAL             CONFLICT-RESOLUTION 
     0.315   PROCEDURAL             CONFLICT-RESOLUTION 
     0.316   PROCEDURAL             CONFLICT-RESOLUTION 
     0.317   PROCEDURAL             CONFLICT-RESOLUTION 
     0.318   PROCEDURAL             CONFLICT-RESOLUTION 
     0.319   PROCEDURAL             CONFLICT-RESOLUTION 
     0.320   PROCEDURAL             CONFLICT-RESOLUTION 
     0.321   PROCEDURAL             CONFLICT-RESOLUTION 
     0.322   PROCEDURAL             CONFLICT-RESOLUTION 
     0.323   PROCEDURAL             CONFLICT-RESOLUTION 
     0.324   PROCEDURAL             CONFLICT-RESOLUTION 
     0.325   PROCEDURAL             CONFLICT-RESOLUTION 
     0.326   PROCEDURAL             CONFLICT-RESOLUTION 
     0.327   PROCEDURAL             CONFLICT-RESOLUTION 
     0.328   PROCEDURAL             CONFLICT-RESOLUTION 
     0.329   PROCEDURAL             CONFLICT-RESOLUTION 
     0.339   PROCEDURAL             CONFLICT-RESOLUTION 
     0.389   PROCEDURAL             PRODUCTION-FIRED CLICK-FIRST-TILE 
     0.389   PROCEDURAL             CLEAR-BUFFER MANUAL 
     0.389   MOTOR                  CLICK-MOUSE 
     0.389   PROCEDURAL             CONFLICT-RESOLUTION 
     0.419   PROCEDURAL             CONFLICT-RESOLUTION 
     0.429   PROCEDURAL             CONFLICT-RESOLUTION 
     0.439   MOTOR                  OUTPUT-KEY #(28 2) 
*** CONCENTRATION: Clicked 5 #(205 306).
     0.439   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION0-1 REQUESTED NIL 
     0.439   PROCEDURAL             CONFLICT-RESOLUTION 
     0.449   PROCEDURAL             CONFLICT-RESOLUTION 
     0.499   PROCEDURAL             PRODUCTION-FIRED READ-FIRST-TILE 
     0.499   PROCEDURAL             CLEAR-BUFFER VISUAL 
     0.499   PROCEDURAL             CLEAR-BUFFER IMAGINAL 
     0.499   PROCEDURAL             CONFLICT-RESOLUTION 
     0.699   IMAGINAL               SET-BUFFER-CHUNK IMAGINAL TILE0 
     0.699   PROCEDURAL             CONFLICT-RESOLUTION 
     0.749   PROCEDURAL             PRODUCTION-FIRED CHECK-FOR-MATCHING-SECOND-TILE 
     0.749   PROCEDURAL             CLEAR-BUFFER RETRIEVAL 
     0.749   DECLARATIVE            START-RETRIEVAL 
     0.749   DECLARATIVE            RETRIEVAL-FAILURE 
     0.749   PROCEDURAL             CONFLICT-RESOLUTION 
     0.799   PROCEDURAL             PRODUCTION-FIRED FIND-UNATTENDED-SECOND-TILE 
     0.799   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     0.799   VISION                 Find-location 
     0.799   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION3-1 
     0.799   PROCEDURAL             CONFLICT-RESOLUTION 
     0.849   PROCEDURAL             PRODUCTION-FIRED ATTEND-SECOND-TILE 
     0.849   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     0.849   PROCEDURAL             CLEAR-BUFFER VISUAL 
     0.849   PROCEDURAL             CLEAR-BUFFER MANUAL 
     0.849   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION3-1-0 
     0.849   PROCEDURAL             CONFLICT-RESOLUTION 
     0.889   PROCEDURAL             CONFLICT-RESOLUTION 
     0.890   PROCEDURAL             CONFLICT-RESOLUTION 
     0.891   PROCEDURAL             CONFLICT-RESOLUTION 
     0.892   PROCEDURAL             CONFLICT-RESOLUTION 
     0.893   PROCEDURAL             CONFLICT-RESOLUTION 
     0.894   PROCEDURAL             CONFLICT-RESOLUTION 
     0.895   PROCEDURAL             CONFLICT-RESOLUTION 
     0.896   PROCEDURAL             CONFLICT-RESOLUTION 
     0.897   PROCEDURAL             CONFLICT-RESOLUTION 
     0.898   PROCEDURAL             CONFLICT-RESOLUTION 
     0.899   PROCEDURAL             CONFLICT-RESOLUTION 
     0.900   PROCEDURAL             CONFLICT-RESOLUTION 
     0.901   PROCEDURAL             CONFLICT-RESOLUTION 
     0.902   PROCEDURAL             CONFLICT-RESOLUTION 
     0.903   PROCEDURAL             CONFLICT-RESOLUTION 
     0.904   PROCEDURAL             CONFLICT-RESOLUTION 
     0.905   PROCEDURAL             CONFLICT-RESOLUTION 
     0.906   PROCEDURAL             CONFLICT-RESOLUTION 
     0.907   PROCEDURAL             CONFLICT-RESOLUTION 
     0.908   PROCEDURAL             CONFLICT-RESOLUTION 
     0.909   PROCEDURAL             CONFLICT-RESOLUTION 
     0.910   PROCEDURAL             CONFLICT-RESOLUTION 
     0.911   PROCEDURAL             CONFLICT-RESOLUTION 
     0.912   PROCEDURAL             CONFLICT-RESOLUTION 
     0.913   PROCEDURAL             CONFLICT-RESOLUTION 
     0.914   PROCEDURAL             CONFLICT-RESOLUTION 
     0.915   PROCEDURAL             CONFLICT-RESOLUTION 
     0.916   PROCEDURAL             CONFLICT-RESOLUTION 
     0.917   PROCEDURAL             CONFLICT-RESOLUTION 
     0.918   PROCEDURAL             CONFLICT-RESOLUTION 
     0.919   PROCEDURAL             CONFLICT-RESOLUTION 
     0.920   PROCEDURAL             CONFLICT-RESOLUTION 
     0.921   PROCEDURAL             CONFLICT-RESOLUTION 
     0.922   PROCEDURAL             CONFLICT-RESOLUTION 
     0.923   PROCEDURAL             CONFLICT-RESOLUTION 
     0.924   PROCEDURAL             CONFLICT-RESOLUTION 
     0.925   PROCEDURAL             CONFLICT-RESOLUTION 
     0.926   PROCEDURAL             CONFLICT-RESOLUTION 
     0.927   PROCEDURAL             CONFLICT-RESOLUTION 
     0.928   PROCEDURAL             CONFLICT-RESOLUTION 
     0.929   PROCEDURAL             CONFLICT-RESOLUTION 
     0.930   PROCEDURAL             CONFLICT-RESOLUTION 
     0.931   PROCEDURAL             CONFLICT-RESOLUTION 
     0.932   PROCEDURAL             CONFLICT-RESOLUTION 
     0.933   PROCEDURAL             CONFLICT-RESOLUTION 
     0.934   VISION                 Encoding-complete VISUAL-LOCATION3-1-0 NIL 
     0.934   VISION                 SET-BUFFER-CHUNK VISUAL TEXT1 
     0.934   PROCEDURAL             CONFLICT-RESOLUTION 
     0.935   PROCEDURAL             CONFLICT-RESOLUTION 
     0.936   PROCEDURAL             CONFLICT-RESOLUTION 
     0.937   PROCEDURAL             CONFLICT-RESOLUTION 
     0.938   PROCEDURAL             CONFLICT-RESOLUTION 
     0.939   PROCEDURAL             CONFLICT-RESOLUTION 
     0.940   PROCEDURAL             CONFLICT-RESOLUTION 
     0.941   PROCEDURAL             CONFLICT-RESOLUTION 
     0.942   PROCEDURAL             CONFLICT-RESOLUTION 
     0.943   PROCEDURAL             CONFLICT-RESOLUTION 
     0.944   PROCEDURAL             CONFLICT-RESOLUTION 
     0.945   PROCEDURAL             CONFLICT-RESOLUTION 
     0.946   PROCEDURAL             CONFLICT-RESOLUTION 
     0.947   PROCEDURAL             CONFLICT-RESOLUTION 
     0.948   PROCEDURAL             CONFLICT-RESOLUTION 
     0.949   PROCEDURAL             CONFLICT-RESOLUTION 
     0.950   PROCEDURAL             CONFLICT-RESOLUTION 
     0.951   PROCEDURAL             CONFLICT-RESOLUTION 
     0.952   PROCEDURAL             CONFLICT-RESOLUTION 
     0.953   PROCEDURAL             CONFLICT-RESOLUTION 
     0.954   PROCEDURAL             CONFLICT-RESOLUTION 
     0.955   PROCEDURAL             CONFLICT-RESOLUTION 
     0.956   PROCEDURAL             CONFLICT-RESOLUTION 
     0.957   PROCEDURAL             CONFLICT-RESOLUTION 
     0.958   PROCEDURAL             CONFLICT-RESOLUTION 
     0.959   PROCEDURAL             CONFLICT-RESOLUTION 
     0.960   PROCEDURAL             CONFLICT-RESOLUTION 
     0.961   PROCEDURAL             CONFLICT-RESOLUTION 
     0.962   PROCEDURAL             CONFLICT-RESOLUTION 
     0.963   PROCEDURAL             CONFLICT-RESOLUTION 
     0.964   PROCEDURAL             CONFLICT-RESOLUTION 
     0.965   PROCEDURAL             CONFLICT-RESOLUTION 
     0.966   PROCEDURAL             CONFLICT-RESOLUTION 
     0.967   PROCEDURAL             CONFLICT-RESOLUTION 
     0.968   PROCEDURAL             CONFLICT-RESOLUTION 
     0.969   PROCEDURAL             CONFLICT-RESOLUTION 
     0.970   PROCEDURAL             CONFLICT-RESOLUTION 
     0.971   PROCEDURAL             CONFLICT-RESOLUTION 
     0.972   PROCEDURAL             CONFLICT-RESOLUTION 
     0.973   PROCEDURAL             CONFLICT-RESOLUTION 
     0.974   PROCEDURAL             CONFLICT-RESOLUTION 
     0.975   PROCEDURAL             CONFLICT-RESOLUTION 
     0.976   PROCEDURAL             CONFLICT-RESOLUTION 
     0.977   PROCEDURAL             CONFLICT-RESOLUTION 
     0.978   PROCEDURAL             CONFLICT-RESOLUTION 
     0.979   PROCEDURAL             CONFLICT-RESOLUTION 
     0.980   PROCEDURAL             CONFLICT-RESOLUTION 
     0.981   PROCEDURAL             CONFLICT-RESOLUTION 
     0.982   PROCEDURAL             CONFLICT-RESOLUTION 
     0.983   PROCEDURAL             CONFLICT-RESOLUTION 
     0.984   PROCEDURAL             CONFLICT-RESOLUTION 
     0.985   PROCEDURAL             CONFLICT-RESOLUTION 
     0.986   PROCEDURAL             CONFLICT-RESOLUTION 
     0.987   PROCEDURAL             CONFLICT-RESOLUTION 
     0.988   PROCEDURAL             CONFLICT-RESOLUTION 
     0.989   PROCEDURAL             CONFLICT-RESOLUTION 
     0.990   PROCEDURAL             CONFLICT-RESOLUTION 
     0.991   PROCEDURAL             CONFLICT-RESOLUTION 
     0.992   PROCEDURAL             CONFLICT-RESOLUTION 
     0.993   PROCEDURAL             CONFLICT-RESOLUTION 
     0.994   PROCEDURAL             CONFLICT-RESOLUTION 
     0.995   PROCEDURAL             CONFLICT-RESOLUTION 
     0.996   PROCEDURAL             CONFLICT-RESOLUTION 
     0.997   PROCEDURAL             CONFLICT-RESOLUTION 
     0.998   PROCEDURAL             CONFLICT-RESOLUTION 
     0.999   PROCEDURAL             CONFLICT-RESOLUTION 
     1.000   PROCEDURAL             CONFLICT-RESOLUTION 
     1.001   PROCEDURAL             CONFLICT-RESOLUTION 
     1.002   PROCEDURAL             CONFLICT-RESOLUTION 
     1.003   PROCEDURAL             CONFLICT-RESOLUTION 
     1.004   PROCEDURAL             CONFLICT-RESOLUTION 
     1.005   PROCEDURAL             CONFLICT-RESOLUTION 
     1.006   PROCEDURAL             CONFLICT-RESOLUTION 
     1.007   PROCEDURAL             CONFLICT-RESOLUTION 
     1.008   PROCEDURAL             CONFLICT-RESOLUTION 
     1.009   PROCEDURAL             CONFLICT-RESOLUTION 
     1.010   PROCEDURAL             CONFLICT-RESOLUTION 
     1.011   PROCEDURAL             CONFLICT-RESOLUTION 
     1.012   PROCEDURAL             CONFLICT-RESOLUTION 
     1.013   PROCEDURAL             CONFLICT-RESOLUTION 
     1.014   PROCEDURAL             CONFLICT-RESOLUTION 
     1.015   PROCEDURAL             CONFLICT-RESOLUTION 
     1.016   PROCEDURAL             CONFLICT-RESOLUTION 
     1.017   PROCEDURAL             CONFLICT-RESOLUTION 
     1.018   PROCEDURAL             CONFLICT-RESOLUTION 
     1.019   PROCEDURAL             CONFLICT-RESOLUTION 
     1.020   PROCEDURAL             CONFLICT-RESOLUTION 
     1.021   PROCEDURAL             CONFLICT-RESOLUTION 
     1.022   PROCEDURAL             CONFLICT-RESOLUTION 
     1.023   PROCEDURAL             CONFLICT-RESOLUTION 
     1.024   PROCEDURAL             CONFLICT-RESOLUTION 
     1.025   PROCEDURAL             CONFLICT-RESOLUTION 
     1.026   PROCEDURAL             CONFLICT-RESOLUTION 
     1.027   PROCEDURAL             CONFLICT-RESOLUTION 
     1.028   PROCEDURAL             CONFLICT-RESOLUTION 
     1.029   PROCEDURAL             CONFLICT-RESOLUTION 
     1.030   PROCEDURAL             CONFLICT-RESOLUTION 
     1.040   PROCEDURAL             CONFLICT-RESOLUTION 
     1.090   PROCEDURAL             PRODUCTION-FIRED CLICK-SECOND-TILE 
     1.090   PROCEDURAL             CLEAR-BUFFER MANUAL 
     1.090   MOTOR                  CLICK-MOUSE 
     1.090   PROCEDURAL             CONFLICT-RESOLUTION 
     1.120   PROCEDURAL             CONFLICT-RESOLUTION 
     1.130   PROCEDURAL             CONFLICT-RESOLUTION 
     1.140   MOTOR                  OUTPUT-KEY #(28 2) 
*** CONCENTRATION: Clicked 6 #(5 306).
     1.140   PROCEDURAL             CONFLICT-RESOLUTION 
     1.150   PROCEDURAL             CONFLICT-RESOLUTION 
     1.200   PROCEDURAL             PRODUCTION-FIRED READ-SECOND-TILE 
     1.200   PROCEDURAL             CONFLICT-RESOLUTION 
     1.250   PROCEDURAL             PRODUCTION-FIRED NO-MATCH-FOUND-CHECK-EARLIER 
     1.250   PROCEDURAL             CLEAR-BUFFER VISUAL 
     1.250   PROCEDURAL             CLEAR-BUFFER IMAGINAL 
     1.250   PROCEDURAL             CLEAR-BUFFER RETRIEVAL 
     1.250   DECLARATIVE            START-RETRIEVAL 
     1.250   DECLARATIVE            RETRIEVAL-FAILURE 
     1.250   PROCEDURAL             CONFLICT-RESOLUTION 
     1.300   PROCEDURAL             PRODUCTION-FIRED START-FIND-UNATTENDED 
     1.300   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     1.300   VISION                 Find-location 
     1.300   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION0-2 
     1.300   PROCEDURAL             CONFLICT-RESOLUTION 
     1.350   PROCEDURAL             PRODUCTION-FIRED ATTEND-FIRST-TILE 
     1.350   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     1.350   PROCEDURAL             CLEAR-BUFFER VISUAL 
     1.350   PROCEDURAL             CLEAR-BUFFER MANUAL 
     1.350   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION0-2-0 
     1.350   PROCEDURAL             CONFLICT-RESOLUTION 
     1.390   PROCEDURAL             CONFLICT-RESOLUTION 
     1.391   PROCEDURAL             CONFLICT-RESOLUTION 
     1.392   PROCEDURAL             CONFLICT-RESOLUTION 
     1.393   PROCEDURAL             CONFLICT-RESOLUTION 
     1.394   PROCEDURAL             CONFLICT-RESOLUTION 
     1.395   PROCEDURAL             CONFLICT-RESOLUTION 
     1.396   PROCEDURAL             CONFLICT-RESOLUTION 
     1.397   PROCEDURAL             CONFLICT-RESOLUTION 
     1.398   PROCEDURAL             CONFLICT-RESOLUTION 
     1.399   PROCEDURAL             CONFLICT-RESOLUTION 
     1.400   PROCEDURAL             CONFLICT-RESOLUTION 
     1.401   PROCEDURAL             CONFLICT-RESOLUTION 
     1.402   PROCEDURAL             CONFLICT-RESOLUTION 
     1.403   PROCEDURAL             CONFLICT-RESOLUTION 
     1.404   PROCEDURAL             CONFLICT-RESOLUTION 
     1.405   PROCEDURAL             CONFLICT-RESOLUTION 
     1.406   PROCEDURAL             CONFLICT-RESOLUTION 
     1.407   PROCEDURAL             CONFLICT-RESOLUTION 
     1.408   PROCEDURAL             CONFLICT-RESOLUTION 
     1.409   PROCEDURAL             CONFLICT-RESOLUTION 
     1.410   PROCEDURAL             CONFLICT-RESOLUTION 
     1.411   PROCEDURAL             CONFLICT-RESOLUTION 
     1.412   PROCEDURAL             CONFLICT-RESOLUTION 
     1.413   PROCEDURAL             CONFLICT-RESOLUTION 
     1.414   PROCEDURAL             CONFLICT-RESOLUTION 
     1.415   PROCEDURAL             CONFLICT-RESOLUTION 
     1.416   PROCEDURAL             CONFLICT-RESOLUTION 
     1.417   PROCEDURAL             CONFLICT-RESOLUTION 
     1.418   PROCEDURAL             CONFLICT-RESOLUTION 
     1.419   PROCEDURAL             CONFLICT-RESOLUTION 
     1.420   PROCEDURAL             CONFLICT-RESOLUTION 
     1.421   PROCEDURAL             CONFLICT-RESOLUTION 
     1.422   PROCEDURAL             CONFLICT-RESOLUTION 
     1.423   PROCEDURAL             CONFLICT-RESOLUTION 
     1.424   PROCEDURAL             CONFLICT-RESOLUTION 
     1.425   PROCEDURAL             CONFLICT-RESOLUTION 
